State,Active_Cases,Active_1m,Tests,Tests_1m,ICU_Beds,Ventilators,Active_1m,RT,Agg_SVI,ICU_Per_Active,Vent_Per_Active,Active_JenkS,RT_JenkS,Agg_SVI_JenkS,ICU_Per_Active_JenkS,Vent_Per_Active_JenkS,Composite Score,Weighted Composite
Alabama,4663,994,45712,9397,1533,375,994,0.8,0.701477645,0.32875831,0.08042033,5,4,1,2,2,2.8,3.5
Alaska,157,432,9895,13398,119,88,432,0.72,0.740046878,0.757961783,0.560509554,5,4,1,4,4,3.6,4.5
Arizona,4675,710,52990,7628,1559,629,710,1.27,0.833657943,0.333475936,0.134545455,5,2,1,2,2,2.4,1.88
Arkansas,1020,594,24205,8094,732,313,594,0.72,0.722165674,0.717647059,0.306862745,5,4,1,4,3,3.4,4.25
California,28354,788,246400,6294,7338,2584,788,1.22,0.719083919,0.258799464,0.091133526,5,2,1,2,2,2.4,1.88
Colorado,8524,1705,44606,8065,1095,593,1705,1.2,0.435327032,0.128460817,0.069568278,4,2,3,1,1,2.2,1.84
Connecticut,16399,4900,58213,16254,674,383,4900,0.66,0.325120608,0.041100067,0.023355083,3,5,4,1,1,2.8,3.5
Delaware,2005,2673,14794,15581,186,41,2673,1.08,0.494329629,0.09276808,0.020448878,4,3,3,1,1,2.4,2.08
Florida,24546,1262,257877,12519,5604,1527,1262,1.02,0.668849735,0.228306038,0.062209729,5,3,2,2,1,2.6,2.12
Georgia,17583,1777,79933,7762,2508,887,1777,0.9,0.727300008,0.142637775,0.050446454,4,4,1,1,1,2.2,2.75
Hawaii,155,404,23617,16608,201,127,404,0.78,0.505608719,1.296774194,0.819354839,5,4,3,5,5,4.4,5.5
Idaho,1171,988,16183,9588,314,80,988,0.8,0.465696733,0.268146883,0.068317677,5,4,3,2,1,3,3.75
Illinois,28461,2368,143318,11178,3144,1276,2368,1.09,0.378837245,0.110466955,0.044833281,4,3,4,1,1,2.6,2.32
Indiana,10634,1689,61142,9212,1861,862,1689,1.29,0.380373671,0.175004702,0.081060749,4,2,4,1,2,2.6,2.32
